T,Mw,Rjb (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,6.53,1.76,0,0,0,80,205.63,3.48,6.088002639
0.01,6.53,0,0,0,0,80,203.22,3.44,6.052621314
0.01,6.53,0.56,0,0,0,80,210.51,3.36,6.021476572
0.01,6.53,3.86,0,0,0,80,206.08,3.24,6.272675167
0.01,6.53,5.09,0,0,0,80,202.26,3.24,6.049539021
0.01,6.53,5.51,0,0,0,80,202.89,3.52,5.492954771
0.01,6.53,35.64,0,0,0,80,207.469,3.92,4.429718629
0.01,6.53,12.69,0,0,0,80,348.69,3.08,5.094911183
0.01,6.53,30.33,0,0,0,80,345.419,2.417221,3.899269275
0.01,6.53,9.64,0,0,0,80,338.6,3.92,5.875608369
0.01,6.53,24.61,0,0,0,80,362.38,2.417221,5.056053494
0.01,6.53,31.92,0,0,0,80,274.5,3.92,4.895558124
0.01,6.53,14.75,0,0,0,80,193.67,3.32,4.440065239
0.01,6.06,1.1,0,1,1.3,50,338.539,2.417221,6.027995487
0.01,6.06,12.56,0,1,1.3,50,345.419,2.417221,5.817491677
0.01,6.06,4.48,0,1,1.3,50,370.789,2.417221,5.6222667
0.01,6.33,13.8,0,0,4,90,659.6,3.92,6.348774495
0.01,6.33,18.53,0,0,4,90,274.5,3.92,4.756565235
0.01,6.33,39.1,0,0,4,90,338.6,3.92,4.366493522
0.01,6.33,6.07,0,0,4,90,274.5,2.417221,3.639695827
0.01,6.9,52.93,0,1,-0.8,60,1000,2.417221,3.538874996
0.01,6.9,9.52,0,1,-0.8,60,1000,2.417221,4.089745383
0.01,6.9,8.14,0,1,-0.8,60,1000,2.417221,5.056597062
0.01,6.9,17.51,0,1,-0.8,60,1000,2.417221,4.467669826
0.01,6.9,44.62,0,1,-0.8,60,274.5,2.417221,3.7906132
0.01,6.9,22.54,0,1,-0.8,60,500,2.417221,5.349359992
0.01,6.9,13.34,0,1,-0.8,60,600,2.417221,5.006872965
