T,Mw,Rrup (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,6.53,31.1,0,0,0,80,345.419,2.417221,3.899269275
0.01,6.53,10.79,0,0,0,80,338.6,3.92,5.875608369
0.01,6.53,25.23,0,0,0,80,362.38,2.417221,5.056053494
0.01,6.53,32.23,0,0,0,80,274.5,3.92,4.895558124
0.01,6.53,15.48,0,0,0,80,193.67,3.32,4.440065239
0.01,6.06,6.63,0,1,1.3,50,338.539,2.417221,6.027995487
0.01,6.06,15.46,0,1,1.3,50,345.419,2.417221,5.817491677
0.01,6.06,6.59,0,1,1.3,50,370.789,2.417221,5.6222667
0.01,6.33,14.37,0,0,4,90,659.6,3.92,6.348774495
0.01,6.33,18.96,0,0,4,90,274.5,3.92,4.756565235
0.01,6.33,39.3,0,0,4,90,338.6,3.92,4.366493522
0.01,6.33,7.27,0,0,4,90,274.5,2.417221,3.639695827
0.01,6.9,54.1,0,1,-0.8,60,1000,2.417221,3.538874996
0.01,6.9,10.52,0,1,-0.8,60,1000,2.417221,4.089745383
0.01,6.9,10.76,0,1,-0.8,60,1000,2.417221,5.056597062
0.01,6.9,21.26,0,1,-0.8,60,1000,2.417221,4.467669826
0.01,6.9,46.25,0,1,-0.8,60,274.5,2.417221,3.7906132
0.01,6.9,23.35,0,1,-0.8,60,500,2.417221,5.349359992
0.01,6.9,17.64,0,1,-0.8,60,600,2.417221,5.006872965
0.01,6.9,32,0,1,-0.8,60,350,2.417221,4.791512623
0.01,6.9,30.07,0,1,-0.8,60,530,2.417221,4.692039643
0.01,6.9,10.84,0,1,-0.8,60,1000,2.417221,5.653318804
0.01,6.9,61.5,0,1,-0.8,60,659.6,2.417221,3.837251575
0.01,6.9,53.16,0,1,-0.8,60,460,2.417221,3.704579829
0.01,6.6,13.71,0,1,0,44,338.6,2.417221,5.561693519
0.01,5.9,15.57,0,0,2,90,208.71,3.56,5.040934463
0.01,5.9,15.45,0,0,2,90,207.469,3.92,4.881525995
0.01,5.9,16.81,0,0,2,90,348.69,3.08,5.37247916
0.01,5.9,8.15,0,0,2,90,191.14,2.417221,5.266236727
0.01,5.9,19.5,0,0,2,90,362.38,2.417221,4.597174556
0.01,5.9,6.87,0,0,2,90,193.67,3.32,6.011543305
