T,Mw,Rrup (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,6.93,61.71,1,0,3.8,70,338.539,2.417221,4.351180563
0.01,6.93,67.52,1,0,3.8,70,304.08,2.417221,4.606182074
0.01,6.93,50.99,1,0,3.8,70,331.21,2.417221,5.033732606
0.01,6.93,71.39,1,0,3.8,70,376.073,2.417221,4.5628478
0.01,6.93,53.6,1,0,3.8,70,391.01,2.417221,4.180005425
0.01,6.93,69.38,1,0,3.8,70,597.12,2.417221,3.720205559
0.01,6.93,78.41,1,0,3.8,70,477.652,2.417221,3.999015849
0.01,6.93,79.25,1,0,3.8,70,597.12,2.19,4.452417573
0.01,6.93,35.49,1,0,3.8,70,513.7,2.417221,4.492995487
0.01,6.93,15.23,1,0,3.8,70,288.62,1.1,6.161831266
0.01,6.93,3.85,1,0,3.8,70,462.24,1.98,6.192250244
0.01,6.93,20.8,1,0,3.8,70,295.01,1.62,5.127712641
0.01,6.93,20.34,1,0,3.8,70,597.12,1.68,5.669310029
0.01,6.93,58.8,1,0,3.8,70,271.441,2.24,4.272033459
0.01,6.93,35.52,1,0,3.8,70,274.5,1.62,4.838713021
0.01,6.93,76.97,1,0,3.8,70,198.74,2.417221,5.499141183
0.01,6.93,43.94,1,0,3.8,70,116.35,1.62,5.656591051
0.01,6.93,45.58,1,0,3.8,70,126.4,2.417221,4.568001181
0.01,6.93,39.85,1,0,3.8,70,284.79,1.57,5.088815092
0.01,6.93,39.51,1,0,3.8,70,367.57,1.62,4.837586199
0.01,6.93,9.96,1,0,3.8,70,729.65,1.62,5.792858965
0.01,6.93,10.97,1,0,3.8,70,338.539,1.62,5.542651993
0.01,6.93,9.64,1,0,3.8,70,1428,1.62,6.070322268
0.01,6.93,11.07,1,0,3.8,70,270.84,1.62,5.847021747
0.01,6.93,12.82,1,0,3.8,70,349.85,1.62,6.124195622
0.01,6.93,14.34,1,0,3.8,70,221.78,1.88,5.697094601
0.01,6.93,18.33,1,0,3.8,70,663.31,1.63,5.036585165
0.01,6.93,22.68,1,0,3.8,70,333.85,1.88,5.723268934
0.01,6.93,79.81,1,0,3.8,70,641.557,1.62,5.077152993
0.01,6.93,30.49,1,0,3.8,70,281.61,1.68,4.730503209
0.01,6.93,54.15,1,0,3.8,70,370.789,1.62,5.069289675
0.01,6.93,27.93,1,0,3.8,70,370.789,1.78,5.613586888
0.01,6.93,24.82,1,0,3.8,70,215.54,1.62,5.555765783
0.01,6.93,3.88,1,0,3.8,70,477.652,2.07,6.653945728
0.01,6.93,94.64,1,0,3.8,70,169.72,1.62,4.776806054
0.01,6.93,48.39,1,0,3.8,70,712.822,1.62,4.248802676
0.01,6.93,44.35,1,0,3.8,70,684.935,1.1,4.229521401
0.01,6.93,74.26,1,0,3.8,70,248.62,1.62,5.619243022
0.01,6.93,72.2,1,0,3.8,70,306.3,1.62,5.303397799
0.01,6.93,117.08,1,0,3.8,70,338.539,2.417221,4.826821512
0.01,6.93,30.81,1,0,3.8,70,209.87,1.62,5.3230988
0.01,6.93,30.86,1,0,3.8,70,425.3,1.62,5.411337558
0.01,6.93,73,1,0,3.8,70,895.36,0.004,4.267264199
0.01,6.93,83.45,1,0,3.8,70,1315.92,1.62,4.246615289
0.01,6.93,87.87,1,0,3.8,70,259.9,1.62,4.824476569
0.01,6.93,34.32,1,0,3.8,70,684.935,1.61,4.247873663
0.01,6.93,68.16,1,0,3.8,70,338.539,2.417221,4.429581011
0.01,6.93,71.33,1,0,3.8,70,582.9,1.62,4.62293627
0.01,6.93,76.05,1,0,3.8,70,1249.86,1.62,3.943173159
0.01,6.93,77.43,1,0,3.8,70,594.47,1.62,4.927191248
0.01,6.93,74.14,1,0,3.8,70,873.1,1.62,4.42973523
0.01,6.93,58.65,1,0,3.8,70,190.14,1.62,5.633046678
0.01,6.93,32.78,1,0,3.8,70,271.441,1.2,4.545095265
0.01,6.93,14.69,1,0,3.8,70,671.77,1.62,5.638206616
0.01,6.93,8.5,1,0,3.8,70,370.789,1.62,5.926604214
0.01,6.93,9.31,1,0,3.8,70,370.789,1.99,5.722938569
0.01,6.93,63.15,1,0,3.8,70,1020.62,1.62,4.370864191
0.01,6.93,24.23,1,0,3.8,70,267.71,1.62,5.337167578
0.01,6.93,47.57,1,0,3.8,70,400.62,1.26,4.329995803
0.01,6.93,77.42,1,0,3.8,70,155.11,1.62,4.864240122
0.01,6.93,18.51,1,0,3.8,70,714,1.1,5.829969035
0.01,6.93,18.41,1,0,3.8,70,714,1.1,6.109788956
0.01,6.93,17.47,1,0,3.8,70,376.073,1.1,6.250437948
0.01,6.93,34.09,1,0,3.8,70,453.98,1.62,4.358788102
0.01,6.93,75.17,1,0,3.8,70,659.81,1.62,4.001188454
0.01,6.1,29.2,0,1,0,47,338.6,2.417221,3.754008371
0.01,6.69,4.38,0,0,3.7,63,274.5,2.417221,6.176240421
0.01,7.01,6.96,1,0,5.2,14,513.703,2.417221,7.20247768
0.01,7.01,41.97,1,0,5.2,14,338.539,0.72,5.104519221
0.01,7.01,19.95,1,0,5.2,14,457.06,3.179,4.755088585
0.01,7.01,8.18,1,0,5.2,14,712.822,2.417221,6.423621643
0.01,7.01,14.33,1,0,5.2,14,311.75,2.48,6.034533261
0.01,7.01,28.78,1,0,5.2,14,513.703,2.417221,5.269952521
0.01,7.28,69.27,0,0,0,90,271.441,2.417221,4.861108378
0.01,7.28,144.93,0,0,0,90,234.8825426,3.091,3.705453181
0.01,7.28,137.28,0,0,0,90,308.6450892,1.84,3.320189157
0.01,7.28,135.26,0,0,0,90,367.53,2.04,3.833889437
0.01,7.28,87.99,0,0,0,90,271.441,2.417221,4.588504197
0.01,7.28,131.95,0,0,0,90,308.6450892,2.84,3.322926759
0.01,7.28,34.99,0,0,0,90,370.789,2.417221,4.774092168
0.01,7.28,154.29,0,0,0,90,308.6450892,5.031,3.642115241
0.01,7.28,144.16,0,0,0,90,445.983055,0.32,3.274077025
0.01,7.28,89.74,0,0,0,90,345.419,2.417221,4.627177293
0.01,7.28,137.47,0,0,0,90,308.6450892,3.324,3.661101553
0.01,7.28,150.12,0,0,0,90,308.6450892,4.467,3.833594725
0.01,7.28,157.97,0,0,0,90,271.441,1,3.996077229
0.01,7.28,190.08,0,0,0,90,338.539,2.71,2.718318087
0.01,7.28,172.47,0,0,0,90,376.073,3.068,3.487024216
0.01,7.28,161.26,0,0,0,90,308.6450892,5.759,4.150966406
0.01,7.28,19.97,0,0,0,90,271.441,2.417221,5.904522024
0.01,7.28,128.1,0,0,0,90,271.441,2.44,4.0073933
0.01,7.28,21.98,0,0,0,90,345.419,2.417221,4.937861807
0.01,7.28,157.49,0,0,0,90,271.9,6.091,3.80924138
0.01,7.28,126.36,0,0,0,90,445.983055,0.21,3.147895584
0.01,7.28,135.92,0,0,0,90,308.6450892,3.04,3.662955716
0.01,7.28,121.83,0,0,0,90,308.6450892,2.417221,3.897577348
0.01,7.28,63.06,0,0,0,90,345.419,2.417221,4.848128529
0.01,7.28,146.92,0,0,0,90,270.19,3.014,4.094378578
0.01,7.28,148.1,0,0,0,90,445.983055,0.32,4.012153428
0.01,7.28,122.65,0,0,0,90,445.983055,1.2,3.903809601
0.01,7.28,136.32,0,0,0,90,337,2.884,3.967714793
0.01,7.28,68.72,0,0,0,90,338.539,2.417221,4.434509495
0.01,7.28,156.03,0,0,0,90,234.8825426,3.134,4.048017653
0.01,7.28,54.34,0,0,0,90,345.419,2.417221,4.653589939
0.01,7.28,167.3,0,0,0,90,316.02,3.549,3.688321363
0.01,7.28,11.43,0,0,0,90,379.32,2.417221,5.505098118
0.01,7.28,164.39,0,0,0,90,301,4.852,3.791221771
0.01,7.28,153.07,0,0,0,90,445.983055,0.76,3.700430232
0.01,7.28,148.73,0,0,0,90,405.1888981,1.939,3.488224817
0.01,7.28,159.16,0,0,0,90,315.06,2.574,3.641260894
0.01,7.28,151.73,0,0,0,90,349.43,3.278,3.943169546
0.01,7.28,161.59,0,0,0,90,308.6450892,4.659,3.469595555
0.01,7.28,161.02,0,0,0,90,405.1888981,3.421,3.458641906
0.01,7.28,163.99,0,0,0,90,294.247,5.345,3.912073043
0.01,7.28,160.88,0,0,0,90,270.19,5.602,4.074953721
